vote_average,vote_count,revenue,budget,popularity,runtimecat,adult
0.6189,0.005131178431656762,0.002453938388516489,0.009823934399857393,0.00476462893369094,1,0
0.6268,0.00368169299898536,0.0013345262142734368,0.08912845462707529,0.011794184861724906,1,0
0.6587000000000001,0.08343238150456588,0.021675154106329465,0.06521535916382427,0.007028554043489136,1,0
0.6223000000000001,0.034265835628351934,0.009276257269053243,0.05434577031689199,0.005835643512112952,2,0
0.6904,0.0015074648499782577,6.361790890186745e-05,0.001736960297739778,0.001246010412252113,1,0
0.68,0.0011885780547905493,0.0007347228878758989,0.004345661621003524,0.0017192338789262602,1,0
0.58,0.0360921872735179,0.01852730098224348,0.06521535916382427,0.005067198066229244,3,0
0.68,0.004957240179736194,0.0009465387155646666,0.0005413055245772273,0.004406288228157164,15,0
0.33740000000000003,0.002638063487461951,1.1980004716111879e-05,0.001736960297739778,0.0015148494317811802,16,0
0.8,2.8989708653428032e-05,0.0006837215048109303,3.0434848771410374e-05,0.0002003769089657646,16,0
0.0,0.0,1.5893190177113307e-05,2.1413090028456586e-05,0.0002043844471450799,13,0
0.7667,8.69691259602841e-05,0.0028509055892699344,0.012110895893251943,0.00022842967622097168,16,0
0.642,0.01927815625452964,0.014155561738258611,0.013041332698549346,0.0036966200089034143,1,0
0.6811,0.0013045368894042614,0.001147858614379931,0.004400009565238185,0.0013234894837188752,1,0
0.67,0.004464415132627917,0.000754393818933771,0.008693497159776435,0.004586627446226352,2,0
0.0,0.0,3.0782859146064897e-06,1.9565259924478096e-05,0.0002003769089657646,16,0
0.7001000000000001,0.021771271198724452,0.05073543455337618,0.18912867201885222,0.005349729507870972,5,0
0.73,0.0013045368894042614,0.0003786291674965982,0.0007586973015158729,0.0011444861117094589,13,0
0.7200000000000001,0.00023191766922742426,0.0009676078724913065,0.0014543509877195388,0.0007938265210193707,5,0
0.5822,0.01608928830265256,0.011185704340612916,0.03260659262302744,0.007186517840057147,16,0
0.592,0.2197709813016379,0.377621224501736,0.4565205576533862,0.019229837991929486,7,0
0.6593,0.009218727351790114,2.739298229054657e-05,0.00923697660212305,0.0032013550822430326,2,0
0.5274,0.03788954921003044,0.01732359405261015,0.13043289224541793,0.00852102805376914,16,0
0.6447,0.005218147557617046,0.000919654676545335,0.028258757084254533,0.004354858154855951,2,0
0.6752,0.0034497753297579358,0.0007179246816398913,0.0009195672164504707,0.003097493051095778,2,0
0.7444000000000001,0.0007827221336425569,0.00018811747255928545,0.000730436370513849,0.0007600964080101336,15,0
0.45999999999999996,0.00023191766922742426,0.00478810272428625,0.010867414929162891,0.001262040564969374,4,0
0.6805,0.02884476011016089,0.0011917245306948417,0.08695453685768884,0.004057632406556734,1,0
0.54,0.0013625163067111175,0.0012077042549093323,0.03912834593118681,0.0019493333627219466,3,0
0.7492000000000001,0.4732280040585592,0.2688012648373099,0.23912878071474072,0.02207352029166863,3,0
0.6900000000000001,0.009508624438324394,0.0313668352944166,0.09566107752408158,0.004967343573261305,2,0
0.49400000000000005,0.0014494854326714017,0.0047372877485349985,0.036954428161800355,0.0036869351249700687,2,0
0.6732,0.028206986519785475,0.005688684341304683,0.03260659262302744,0.005772190824273792,2,0
0.6885,0.026786490795767504,0.0007293663283527153,0.03912834593118681,0.007379547595694168,3,0
0.75,0.00011595883461371213,0.0003543449119480359,0.001145654664466662,0.0006068080726513238,2,0
0.6838000000000001,0.04110740687056095,0.0480129218753821,0.041302263700573265,0.005249875014903033,3,0
0.6085,0.0015364545586316856,0.012312801626657668,0.0007804364792097375,0.002259583610103939,2,0
0.5926,0.009653572981591535,0.014531672867877063,0.036954428161800355,0.0032407625410063,2,0
0.7692000000000001,0.17011161037831568,0.10575872266534182,0.06304144139443782,0.011777820747492701,3,0
0.5973,0.008204087548920134,0.00034884538314570724,0.013041332698549346,0.003642184281967715,16,0
0.6953,0.03765763154080302,0.013495322424499604,0.1521720699392825,0.00541418408025496,3,0
0.6221000000000001,0.015277576460356573,0.003148376432691469,0.013476116252426637,0.00610014103194776,15,0
0.7287,0.032352514857225685,0.017129845711049512,0.03912834593118681,0.007155459419167454,2,0
0.26,0.00014494854326714017,0.00048294885682492923,0.010867414929162891,0.0007851435216308543,16,0
0.0,0.0,1.3790720897437071e-06,8.76523644616619e-06,0.00021907875380256932,0,0
0.6901,0.017277866357443106,0.012145040174788138,0.03260659262302744,0.0044503711481296325,2,0
0.6900000000000001,0.002869981156689375,0.0007521278584688523,0.0015195685208011325,0.0027782258428103264,3,0
0.5595,0.03522249601391506,0.004891227012584408,0.026084839314868078,0.004686815900709234,16,0
0.6842,0.0005508044644151327,0.0009231437426136573,0.0015413076984949969,0.0004441688148741116,1,0
0.531,0.0054790549354978985,0.005256308985802592,0.06521535916382427,0.002729467461628657,16,0
0.0,0.0,4.788444756054539e-06,0.0,0.0002003769089657646,0,0
0.5331,0.020959559356428466,0.01445857520648528,0.045650099239346174,0.009603063362184269,16,0
0.5646,0.018930279750688506,0.03095277300385227,0.1282589744760315,0.0045151596820285625,15,0
0.5815,0.041513262791708944,0.016439644756420103,0.028258757084254533,0.004325469541540972,16,0
0.6218,0.13199014349905783,0.09835212254411606,0.06521535916382427,0.01135068396988068,1,0
0.7052,0.001681403101898826,0.0008188240532853262,0.010041326176796038,0.00198039178361164,2,0
0.6431,0.11621974199159298,0.1628311254953529,0.43478137995952165,0.05800711137649919,3,0
0.6549,0.02339469488331642,0.02917496780333544,0.02173700377609517,0.006662532223111673,1,0
0.629,0.006812581533555588,0.0007928720508345837,0.05217185254750554,0.005483314113848148,2,0
0.6602000000000001,0.06870560950862444,0.024457816149063186,0.08695453685768884,0.013349777598329123,1,0
0.7192000000000001,0.08517176402377157,0.029213582505911797,0.08695453685768884,0.006750698063056609,2,0
0.7187000000000001,0.004580373967241629,0.007113918748655597,0.019563086006708714,0.0038923214566599774,8,0
0.4577,0.06221191477025656,0.011094822395397148,0.013041332698549346,0.01008797548188142,16,0
0.6331000000000001,0.0025800840701550947,0.0001140056869745245,0.019563086006708714,0.003622480552586081,1,0
